title,release_year,budget,revenue,roi,production_companies,popularity
Less Than Zero,1987,1,12396383.0,12396383.0,"['Twentieth Century Fox Film Corporation', 'Amercent Films', 'American Entertainment Partners L.P.']",0.007303035173919787
Welcome to Dongmakgol,2005,8,33579813.0,4197476.625,['Film It Suda'],0.007656516351047105
"The Karate Kid, Part II",1986,113,115103979.0,1018619.2831858407,"['Columbia Pictures Corporation', 'Delphi V Productions']",0.016806306003662508
Nurse 3-D,2013,10,10000000.0,1000000.0,"['Lions Gate', 'Lions Gate Entertainments']",0.009428063195718336
From Prada to Nada,2011,93,2500000.0,26881.720430107525,"['Lewis Gilbert Productions', 'Lionsgate', 'Modern VideoFilm']",0.020213343524634768
Paranormal Activity,2007,15000,193355800.0,12890.386666666667,"['Blumhouse Productions', 'Solana Films']",0.02315402174562806
The Blair Witch Project,1999,60000,248000000.0,4133.333333333333,"['Artisan Entertainment', 'Haxan Films']",0.027048316984009956
The Tiger: An Old Hunter's Tale,2015,5000,11083449.0,2216.6898,"['Next Entertainment World', 'Sanai Pictures']",0.006242158732396143
"Love, Wedding, Marriage",2011,1,1378.0,1378.0,"['120dB Films', 'Scion Films', 'Voodoo Production Services', 'Chydzik Media Group', 'First Wedding Productions']",0.0073604697460089895
Super Size Me,2004,65000,28575078.0,439.6165846153846,['Kathbur Pictures'],0.009563344875058681
