id,title,genres,production_companies
257344,Pixels,"['Action', 'Comedy', 'Science Fiction']","['Columbia Pictures', 'Happy Madison Productions']"
2501,The Bourne Identity,"['Action', 'Drama', 'Mystery', 'Thriller']","['Universal Pictures', 'Kennedy/Marshall Company, The', 'Hypnotic', 'Kalima Productions GmbH & Co. KG', 'Stillking Films']"
324786,Hacksaw Ridge,"['Drama', 'History', 'War']","['Icon Productions', 'Permut Presentations', 'Pandemonium', 'Cross Creek Pictures', 'Vendian Entertainment', 'Demarest Media']"
1402,The Pursuit of Happyness,['Drama'],"['Columbia Pictures Corporation', 'Escape Artists', 'Relativity Media', 'Overbrook Entertainment']"
227159,Horrible Bosses 2,['Comedy'],"['New Line Cinema', 'BenderSpink', 'RatPac Entertainment']"
296,Terminator 3: Rise of the Machines,"['Action', 'Thriller', 'Science Fiction']","['Columbia Pictures', 'Intermedia Films', 'Warner Bros.', 'C-2 Pictures', 'IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG', 'Mostow/Lieberman Productions']"
197,Braveheart,"['Action', 'Drama', 'History', 'War']","['Icon Entertainment International', 'The Ladd Company', 'B.H. Finance C.V.']"
14,American Beauty,['Drama'],"['DreamWorks SKG', 'Jinks/Cohen Company']"
273477,Scouts Guide to the Zombie Apocalypse,"['Comedy', 'Horror']","['Paramount Pictures', 'Oops Doughnuts Productions', 'Broken Road Productions', 'Brucks Entertainment']"
180,Minority Report,"['Action', 'Thriller', 'Science Fiction', 'Mystery']","['DreamWorks SKG', 'Cruise/Wagner Productions', 'Amblin Entertainment', 'Twentieth Century Fox Film Corporation', 'Blue Tulip Productions', 'Ronald Shusett/Gary Goldman', 'Digital Image Associates']"
188927,Star Trek Beyond,"['Action', 'Adventure', 'Science Fiction']","['Paramount Pictures', 'Bad Robot', 'Perfect Storm Entertainment', 'Alibaba Pictures Group', 'Skydance Media', 'Sneaky Shark', 'Huahua Media']"
57158,The Hobbit: The Desolation of Smaug,"['Adventure', 'Fantasy']","['WingNut Films', 'New Line Cinema', 'Warner Bros. Pictures', 'Metro-Goldwyn-Mayer (MGM)']"
277,Underworld,"['Fantasy', 'Action', 'Thriller']","['Lakeshore Entertainment', 'Laurinfilm', 'Subterranean Productions LLC', 'Subterranean Productions UK Ltd.', 'Underworld Produktions GmbH']"
189,Sin City: A Dame to Kill For,"['Crime', 'Thriller']","['Miramax Films', 'Troublemaker Studios', 'AR Films', 'Aldamisa Entertainment', 'Demarest Films', 'Solipsist Film', 'Residaco']"
49026,The Dark Knight Rises,"['Action', 'Crime', 'Drama', 'Thriller']","['Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy']"
254128,San Andreas,"['Action', 'Drama', 'Thriller']","['New Line Cinema', 'Village Roadshow Pictures', 'Warner Bros.', 'Flynn Picture Company']"
2062,Ratatouille,"['Animation', 'Comedy', 'Family', 'Fantasy']","['Walt Disney Pictures', 'Pixar Animation Studios']"
109491,Beautiful Creatures,"['Fantasy', 'Drama', 'Romance']","['Alcon Entertainment', 'Warner Bros.', 'Belle Pictures', '3 Arts Entertainment']"
101,Leon: The Professional,"['Thriller', 'Crime', 'Drama']","['Columbia Pictures', 'Gaumont']"
2502,The Bourne Supremacy,"['Action', 'Drama', 'Thriller']","['Universal Pictures', 'The Kennedy/Marshall Company', 'Hypnotic', 'Motion Picture THETA Produktionsgesellschaft', 'Ludlum Entertainment']"
270303,It Follows,"['Horror', 'Thriller']","['Northern Lights Films', 'Animal Kingdom', 'Two Flints']"
273248,The Hateful Eight,"['Crime', 'Drama', 'Mystery', 'Western']","['Double Feature Films', 'The Weinstein Company', 'FilmColony']"
37724,Skyfall,"['Action', 'Adventure', 'Thriller']",['Columbia Pictures']
274870,Passengers,"['Adventure', 'Drama', 'Romance', 'Science Fiction']","['Columbia Pictures', 'Village Roadshow Pictures', 'Original Film', 'Company Films', 'Start Motion Pictures', 'LStar Capital', 'Wanda Pictures']"
744,Top Gun,"['Action', 'Romance', 'War']",['Paramount Pictures']
293768,Kidnap,"['Drama', 'Thriller']","['Ingenious Media', 'Di Bonaventura Pictures', 'Gold Star Films', 'Lotus Entertainment (I)', '606 Films', 'Well Go USA Entertainment', 'Rumble Entertainment']"
752,V for Vendetta,"['Action', 'Thriller', 'Fantasy']","['Studio Babelsberg', 'DC Comics', 'Virtual Studios', 'Anarchos Productions', 'Silver Pictures', 'Warner Bros.', 'Medienboard Berlin-Brandenburg', 'Fünfte Babelsberg Film']"
278154,Ice Age: Collision Course,"['Adventure', 'Animation', 'Family', 'Comedy']","['Blue Sky Studios', 'Twentieth Century Fox Animation']"
335797,Sing,"['Animation', 'Comedy', 'Drama', 'Family', 'Music']","['Universal Pictures', 'Fuji Television Network', 'Dentsu', 'Illumination Entertainment']"
70160,The Hunger Games,"['Science Fiction', 'Adventure', 'Fantasy']","['Lionsgate', 'Color Force']"
346672,Underworld: Blood Wars,"['Action', 'Fantasy', 'Horror']","['Lakeshore Entertainment', 'Screen Gems', 'Sketch Films']"
497,The Green Mile,"['Fantasy', 'Drama', 'Crime']","['Castle Rock Entertainment', 'Darkwoods Productions', 'Warner Bros.']"
146,"Crouching Tiger, Hidden Dragon","['Adventure', 'Drama', 'Action', 'Romance']","['Sony Pictures Classics', 'China Film Co-Production Corporation', 'Columbia Pictures Film Production Asia', 'Good Machine', 'EDKO Film', 'Asia Union Film & Entertainment Ltd.', 'United China Vision', 'Zoom Hunt International Productions Company Ltd.']"
259695,Live by Night,"['Crime', 'Drama']","['Appian Way', 'Warner Bros.', 'Pearl Street Films']"
646,Dr. No,"['Adventure', 'Action', 'Thriller']","['United Artists', 'Eon Productions']"
74,War of the Worlds,"['Adventure', 'Thriller', 'Science Fiction']","['Paramount Pictures', 'DreamWorks SKG', 'Cruise/Wagner Productions', 'Amblin Entertainment']"
207,Dead Poets Society,['Drama'],"['Touchstone Pictures', 'Silver Screen Partners IV']"
85,Raiders of the Lost Ark,"['Adventure', 'Action']","['Lucasfilm', 'Paramount Pictures']"
640,Catch Me If You Can,"['Drama', 'Crime']","['Kemp Company', 'Splendid Pictures', 'Parkes/MacDonald Productions']"
10585,Child's Play,"['Horror', 'Thriller']",['United Artists']
301875,Equals,"['Drama', 'Romance', 'Science Fiction']","['Scott Free Productions', 'Infinite Frameworks Studios', 'Freedom Media', 'A24', 'Route One Entertainment']"
150689,Cinderella,"['Romance', 'Fantasy', 'Family', 'Drama']","['Walt Disney Pictures', 'Genre Films', 'Beagle Pug Films', 'Allison Shearmur Productions']"
68718,Django Unchained,"['Drama', 'Western']","['Columbia Pictures', 'The Weinstein Company']"
254,King Kong,"['Adventure', 'Drama', 'Action']","['WingNut Films', 'Universal Pictures', 'Big Primate Pictures', 'MFPV Film']"
578,Jaws,"['Horror', 'Thriller', 'Adventure']","['Universal Pictures', 'Zanuck/Brown Productions']"
313369,La La Land,"['Comedy', 'Drama', 'Music', 'Romance']","['Summit Entertainment', 'Marc Platt Productions', 'Gilbert Films', 'Black Label Media', 'Impostor Pictures']"
225574,Non-Stop,"['Action', 'Thriller', 'Mystery']","['StudioCanal', 'Silver Pictures', 'TF1 Films Production', 'Canal+', 'Anton Capital Entertainment (ACE)', 'TF1', 'LOVEFiLM International']"
72105,Ted,"['Comedy', 'Fantasy']","['Universal Pictures', 'Media Rights Capital', 'Fuzzy Door Productions']"
197796,Beauty and the Beast,"['Fantasy', 'Romance']","['Canal Plus', 'Studio Babelsberg', 'Eskwad', 'TF1 Films Production', 'TMC', 'Pathé', '120 Films', 'TF1', 'Ciné+']"
694,The Shining,"['Horror', 'Thriller']","['Hawk Films', 'Warner Bros.', 'Peregrine']"
184315,Hercules,"['Action', 'Adventure']","['Paramount Pictures', 'Metro-Goldwyn-Mayer (MGM)', 'Radical Studios', 'Flynn Picture Company']"
616,The Last Samurai,"['Drama', 'Action', 'War', 'History']","['Cruise/Wagner Productions', 'Warner Bros.', 'Radar Pictures', 'Bedford Falls Company, The']"
10679,Iron Sky,"['Action', 'Comedy', 'Science Fiction']","['Blind Spot Pictures Oy', '27 Films Production', 'New Holland Pictures']"
181533,Night at the Museum: Secret of the Tomb,"['Adventure', 'Comedy', 'Fantasy', 'Family']","['Twentieth Century Fox Film Corporation', '1492 Pictures', '21 Laps Entertainment', 'Moving Picture Company (MPC)', 'TSG Entertainment']"
37686,Super 8,"['Thriller', 'Science Fiction', 'Mystery']","['Paramount Pictures', 'Amblin Entertainment', 'Bad Robot', 'K/O Camera Toys']"
273481,Sicario,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']","['Lionsgate', 'Thunder Road Pictures', 'Black Label Media']"
1891,The Empire Strikes Back,"['Adventure', 'Action', 'Science Fiction']","['Lucasfilm', 'Twentieth Century Fox Film Corporation']"
102651,Maleficent,"['Fantasy', 'Adventure', 'Action', 'Family', 'Romance']","['Walt Disney Pictures', 'Walt Disney Studios Motion Pictures', 'Roth Films']"
27586,The Runaways,"['Drama', 'Music']","['River Road Entertainment', 'Road Rebel', 'Linson Entertainment']"
9738,Fantastic Four,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['Twentieth Century Fox Film Corporation', '1492 Pictures', 'Constantin Film Produktion', 'Marvel Enterprises', 'Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 3 KG']"
601,E.T. the Extra-Terrestrial,"['Science Fiction', 'Adventure', 'Family', 'Fantasy']","['Universal Pictures', 'Amblin Entertainment']"
627,Trainspotting,"['Drama', 'Crime']","['Miramax Films', 'Channel Four Films', 'Noel Gay Motion Picture Company', 'Figment Films', 'Film4']"
14160,Up,"['Animation', 'Comedy', 'Family', 'Adventure']",['Pixar Animation Studios']
1771,Captain America: The First Avenger,"['Action', 'Adventure', 'Science Fiction']","['Paramount Pictures', 'Marvel Studios']"
1969,Bandidas,"['Action', 'Comedy', 'Western', 'Crime']","['Ultra Films', 'TF1 Films Production', 'Canal+', 'TPS Star', 'EuropaCorp', 'A.J.O.Z. Films']"
218,The Terminator,"['Action', 'Thriller', 'Science Fiction']","['Orion Pictures', 'Pacific Western', 'Hemdale Film', 'Cinema 84', 'Euro Film Funding']"
39254,Real Steel,"['Action', 'Science Fiction', 'Drama']","['DreamWorks SKG', '21 Laps Entertainment', 'Reliance Entertainment', 'Touchstone Pictures', 'ImageMovers', 'Angry Films', 'Revolution Sun Studios', 'Kontsept Film Company', 'Wardour Street Pictures']"
923,Dawn of the Dead,['Horror'],"['Laurel Group', 'Dawn Associates']"
190859,American Sniper,"['War', 'Action']","['Village Roadshow Pictures', 'Malpaso Productions', 'Warner Bros.', 'RatPac-Dune Entertainment', 'Mad Chance Productions', '22 & Indiana Pictures']"
292280,The Bye Bye Man,"['Horror', 'Thriller']","['Intrepid Pictures', 'Los Angeles Media Fund (LAMF)']"
17578,The Adventures of Tintin,"['Adventure', 'Animation', 'Mystery']","['Paramount Pictures', 'Columbia Pictures', 'WingNut Films', 'Amblin Entertainment', 'Nickelodeon Movies', 'Kennedy/Marshall Company, The', 'Hemisphere Media Capital']"
260514,Cars 3,"['Family', 'Comedy', 'Animation', 'Adventure']","['Walt Disney Pictures', 'Pixar Animation Studios']"
11679,xXx: State of the Union,"['Action', 'Adventure', 'Crime', 'Drama', 'Mystery', 'Thriller']","['Original Film', 'Columbia Pictures Corporation', 'Revolution Studios']"
324668,Jason Bourne,"['Action', 'Thriller']","['The Kennedy/Marshall Company', 'Captivate Entertainment', 'Pearl Street Films', 'Double Negative', 'Perfect World (Beijing) Pictures Co.']"
1724,The Incredible Hulk,"['Science Fiction', 'Action', 'Adventure']","['Universal Pictures', 'Marvel Studios', 'Valhalla Motion Pictures', 'MVL Incredible Productions']"
268,Batman,"['Fantasy', 'Action']","['PolyGram Filmed Entertainment', 'The Guber-Peters Company', 'Warner Bros.']"
1949,Zodiac,"['Crime', 'Drama', 'Mystery', 'Thriller']","['Paramount Pictures', 'Warner Bros.', 'Phoenix Pictures']"
767,Harry Potter and the Half-Blood Prince,"['Adventure', 'Fantasy', 'Family']","['Warner Bros.', 'Heyday Films']"
10138,Iron Man 2,"['Adventure', 'Action', 'Science Fiction']",['Marvel Studios']
955,Mission: Impossible II,"['Adventure', 'Action', 'Thriller']","['Paramount Pictures', 'Cruise/Wagner Productions', 'Munich Film Partners & Company (MFP) MI2 Productions']"
9792,The Hills Have Eyes,"['Horror', 'Thriller']","['Fox Searchlight Pictures', 'Dune Entertainment', 'Major Studio Partners', 'Craven-Maddalena Films']"
2059,National Treasure,"['Adventure', 'Action', 'Thriller', 'Mystery']","['Walt Disney Pictures', 'Jerry Bruckheimer Films', 'Saturn Films', 'Junction Entertainment']"
2133,The Perfect Storm,['Drama'],"['Warner Bros.', 'Baltimore Spring Creek Productions', 'Radiant Productions']"
340666,Nocturnal Animals,"['Drama', 'Thriller']","['Universal Pictures', 'Artina Films', 'Fade to Black Productions', 'Focus Features']"
920,Cars,"['Animation', 'Adventure', 'Comedy', 'Family']","['Walt Disney Pictures', 'Pixar Animation Studios']"
36648,Blade: Trinity,"['Science Fiction', 'Action', 'Horror', 'Thriller', 'Adventure', 'Fantasy']","['New Line Cinema', 'Amen Ra Films', 'Shawn Danielle Productions Ltd.', 'Imaginary Forces', 'Marvel Enterprises', 'Peter Frankfurt Productions']"
27,9 Songs,"['Drama', 'Music', 'Romance']",['Revolution Films']
2005,Sister Act,"['Music', 'Comedy']",['Touchstone Pictures']
1573,Die Hard 2,"['Action', 'Thriller']","['Twentieth Century Fox Film Corporation', 'Gordon Company', 'Silver Pictures']"
267935,The BFG,"['Adventure', 'Family', 'Fantasy']","['Walt Disney Pictures', 'Amblin Entertainment', 'Reliance Entertainment', 'Kennedy/Marshall Company, The', 'Walden Media']"
568,Apollo 13,['Drama'],"['Imagine Entertainment', 'Universal Pictures']"
58595,Snow White and the Huntsman,"['Adventure', 'Fantasy', 'Drama']","['Universal Pictures', 'Roth Films']"
100402,Captain America: The Winter Soldier,"['Action', 'Adventure', 'Science Fiction']",['Marvel Studios']
58574,Sherlock Holmes: A Game of Shadows,"['Adventure', 'Action', 'Crime', 'Mystery']","['Village Roadshow Pictures', 'Silver Pictures', 'Lin Pictures', 'Warner Bros.', 'Wigram Productions']"
9982,Chicken Little,"['Animation', 'Family', 'Comedy']","['Walt Disney Pictures', 'Walt Disney Feature Animation']"
591,The Da Vinci Code,"['Thriller', 'Mystery']","['Columbia Pictures', 'Imagine Entertainment', 'Skylark Productions', 'Government of Malta']"
49521,Man of Steel,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']","['Legendary Pictures', 'Warner Bros.', 'DC Entertainment', 'Syncopy', 'Cruel and Unusual Films']"
1422,The Departed,"['Drama', 'Thriller', 'Crime']","['Vertigo Entertainment', 'Media Asia Films', 'Warner Bros.', 'Initial Entertainment Group (IEG)', 'Plan B Entertainment']"
12244,9,"['Action', 'Adventure', 'Animation', 'Science Fiction', 'Thriller']","['Focus Films', 'Starz Animation', 'Relativity Media', 'Tim Burton Productions', 'Arc Productions']"
49047,Gravity,"['Science Fiction', 'Thriller', 'Drama']","['Warner Bros.', 'Heyday Films', 'Esperanto Filmoj']"
